17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: main.o,Path: \Projekte\Wecker\Build\main.o
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:E,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: mainwindow.o,Path: \Projekte\Wecker\Build\mainwindow.o
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:E,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: Makefile,Path: \Projekte\Wecker\Build\Makefile
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:##,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: moc_mainwindow.cpp,Path: \Projekte\Wecker\Build\moc_mainwindow.cpp
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:/*,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: moc_mainwindow.o,Path: \Projekte\Wecker\Build\moc_mainwindow.o
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:E,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: ui_mainwindow.h,Path: \Projekte\Wecker\Build\ui_mainwindow.h
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:/*,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: Wecker,Path: \Projekte\Wecker\Build\Wecker
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:E,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: Data.txt,Path: \Projekte\Wecker\Files\Data.txt
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:-1,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: Nachricht.mp3,Path: \Projekte\Wecker\Files\Nachricht.mp3
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:-ÿ,
